base;codigo_do_orgao_do_planejamento_de_solicitacoes;nome_do_orgao_do_planejamento_de_solicitacoes;codigo_da_unidade_do_planejamento_de_solicitacoes;nome_da_unidade_do_planejamento_de_solicitacoes;data_aprovacao_reprovacao_do_planejamento_de_solicitacoes;unidade_de_pedido_aprovadora_do_planejamento_de_solicitacoes;data_limite_de_envio_de_planejamento_de_solicitacoes;data_limite_de_aprovacao_de_planejamento_de_solicitacoes;numero_formatado_do_planejamento_de_solicitacoes;proveniente_de_revisao;data_de_criacao_planejamento_de_solicitacoes;ano_base_planejamento_de_solicitacoes;situacao;centralizado;no_do_item_de_planejamento_de_solicitacoes;item_de_planejamento_ativo;codigo_do_material_ou_servico;nome_do_material_ou_servico;codigo_do_item_de_material_ou_servico;desc_do_item_de_material_ou_servico;codigo_do_grupo_material_ou_servico;nome_do_grupo_material_ou_servico;codigo_da_classe_material_ou_servico;nome_da_classe_material_ou_servico;elemento_item_de_despesa;unidade_de_aquisicao;descricao_da_unidade_de_aquisicao;quantidade;valor_unitario_previsto_r;valor_total_previsto_r;inicio_de_execucao_entrega;descricao_do_inicio_execucao_entrega;ano_de_inicio_execucao_entrega;municipio;nome_do_municipio;unidade_orcamentaria;projeto_atividade;fonte;procedencia;codigo_da_unidade_de_compra_vinculada_na_aprovacao;numero_formatado_do_planejamento_de_processo;data_de_criacao_do_planejamento_de_processo_de_compra;data_de_abertura_da_solicitacao_de_material_ou_servico;data_aprovacao_do_pedido_de_material_ou_servico;data_conclusao_do_processo_de_compra;procedimento_de_contratacao;objeto;justificativa_desativacao;complementacao_de_especificacao
2ª revisão;1320;SECRETARIA DE ESTADO DA SAUDE;1321518;SES/DIR REGULACAO URGENCIA EMERGENCIA;2026-03-18;1321518;2025-12-22;2026-07-16;'1321518 0018/2026';True;2026-03-04;2026;Reprovado; - ;1;False;9120530;SERVICOS CLINICOS ESPECIALIZADOS EM AREA DE SAUDE; - ; - ;9;ADMINISTRACAO GERAL;912;SERV.ESPECIALIZADOS AREAS MEDICA, ODONTOLOGICA, REABILITACAO,HOSPITALAR E DE LABORATORIO (EXAME-ANALISE-ENSAIO-PESQUISA);3929;34;HORA;245280,0;31886400,0;7821096192000,0;9;1.ª quinzena de Maio;2026;14;MINAS GERAIS;4291;4134;10;1; - ; - ; - ; - ; - ; - ; - ;'O item de planejamento foi desativado uma vez que a data fim do intervalo de revisão foi atingida e o mesmo não foi vinculado a um planejamento de processo de compra'; - ; - 
2ª revisão;1320;SECRETARIA DE ESTADO DA SAUDE;1321518;SES/DIR REGULACAO URGENCIA EMERGENCIA;2026-03-18;1321518;2025-12-22;2026-07-16;'1321518 0018/2026';True;2026-03-04;2026;Reprovado; - ;2;False;9070095;SERVICOS DE MINISTRACAO DE CURSOS DE QUALIFICACAO E CAPACITACAO DE PESSOAL NA AREA DE SAUDE; - ; - ;9;ADMINISTRACAO GERAL;907;SERVICOS DE TREINAMENTO E APERFEICOAMENTO PROFISSIONAL;3631;1;1,00 UNIDADE;200,0;500,0;100000,0;9;1.ª quinzena de Maio;2026;310620;Belo Horizonte;4291;4134;10;1; - ; - ; - ; - ; - ; - ; - ;'O item de planejamento foi desativado uma vez que a data fim do intervalo de revisão foi atingida e o mesmo não foi vinculado a um planejamento de processo de compra'; - ; - 
2ª revisão;1500;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;1501568;INTENDENCIA DA CIDADE ADMINISTRATIVA;2026-03-04;1501568;2025-12-21;2026-07-14;'1501568 0052/2026';True;2026-03-04;2026;Aprovado;true;1;True;5050022;SERVICOS DE INTEGRACAO A REDE -; - ; - ;5;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - TIC;505;SERVICOS DE REDE;4003;1;1,00 UNIDADE;1,0;1200000,0;1200000,0;12;2.ª quinzena de Junho;2026;310620;Belo Horizonte;1501;4466;10;1;1501122;'1501122 00205/2026';2026-03-18 00:00:00;2026-05-27 00:00:00;2026-05-27 00:00:00;2026-07-30 00:00:00;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que integra a Adm. Pública;REDE IP - CAMG; - ; - 
2ª revisão;1500;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;1501568;INTENDENCIA DA CIDADE ADMINISTRATIVA;2026-03-04;1501568;2025-12-21;2026-07-14;'1501568 0052/2026';True;2026-03-04;2026;Aprovado;true;2;True;5050049;CONEXAO DE ALTA DISPONIBILIDADE A INTERNET -; - ; - ;5;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - TIC;505;SERVICOS DE REDE;4003;1;1,00 UNIDADE;1,0;809460,0;809460,0;12;2.ª quinzena de Junho;2026;310620;Belo Horizonte;1501;4466;10;1;1501122;'1501122 00205/2026';2026-03-18 00:00:00;2026-05-27 00:00:00;2026-05-27 00:00:00;2026-07-30 00:00:00;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que integra a Adm. Pública;REDE IP - CAMG; - ; - 
2ª revisão;1320;SECRETARIA DE ESTADO DA SAUDE;1321012;SES/SUPER REDES ATENCAO SAUDE;2026-03-11;1321012;2025-12-22;2026-07-16;'1321012 0008/2026';True;2026-03-04;2026;Aprovado;true;1;True;9200126;CONCESSAO ONEROSA OU NAO ONEROSA DE ESPACOS PUBLICOS  - ; - ; - ;9;ADMINISTRACAO GERAL;920;OUTROS SERVICOS DE PESSOA JURIDICA;3999;1750;UNIDADE;1,0;0,0;0,0;14;2.ª quinzena de Julho;2026;312770;Governador Valadares;4291;1020;10;1;1321127;'1321127 00047/2026';2026-03-18 00:00:00;2026-12-29 00:00:00;2026-12-30 00:00:00;2026-12-31 00:00:00;Inexigibilidade - Outros motivos;CONCESSAO ONEROSA OU NAO ONEROSA DE ESPACOS PUBLICOS  - ; - ; - 
2ª revisão;1500;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;1501568;INTENDENCIA DA CIDADE ADMINISTRATIVA;2026-03-04;1501568;2025-12-21;2026-07-14;'1501568 0053/2026';True;2026-03-04;2026;Aprovado;true;1;True;5010020;HOSPEDAGEM DE SISTEMA -; - ; - ;5;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - TIC;501;DATACENTER;4003;1;1,00 UNIDADE;1,0;4032921,6;4032921,6;16;2.ª quinzena de Agosto;2026;310620;Belo Horizonte;1501;4466;10;1;1501122;'1501122 00201/2026';2026-03-17 00:00:00;2026-06-30 00:00:00;2026-06-30 00:00:00;2026-08-31 00:00:00;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que integra a Adm. Pública;HOSPEDAGEM FORPONTO; - ; - 
2ª revisão;1500;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;1501568;INTENDENCIA DA CIDADE ADMINISTRATIVA;2026-03-04;1501568;2025-12-21;2026-07-14;'1501568 0053/2026';True;2026-03-04;2026;Aprovado;true;2;True;5040086;SUPORTE TECNICO A AMBIENTE DE TI -; - ; - ;5;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - TIC;504;SERVICOS DE INFRAESTRUTURA;4003;34;HORA;18,0;695,0;12510,0;16;2.ª quinzena de Agosto;2026;310620;Belo Horizonte;1501;4466;10;1;1501122;'1501122 00201/2026';2026-03-17 00:00:00;2026-06-30 00:00:00;2026-06-30 00:00:00;2026-08-31 00:00:00;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que integra a Adm. Pública;HOSPEDAGEM FORPONTO; - ; - 
2ª revisão;1500;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;1501568;INTENDENCIA DA CIDADE ADMINISTRATIVA;2026-03-04;1501568;2025-12-21;2026-07-14;'1501568 0053/2026';True;2026-03-04;2026;Aprovado;true;3;True;5040086;SUPORTE TECNICO A AMBIENTE DE TI -; - ; - ;5;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - TIC;504;SERVICOS DE INFRAESTRUTURA;4003;34;HORA;6,0;1080,0;6480,0;16;2.ª quinzena de Agosto;2026;310620;Belo Horizonte;1501;4466;10;1;1501122;'1501122 00201/2026';2026-03-17 00:00:00;2026-06-30 00:00:00;2026-06-30 00:00:00;2026-08-31 00:00:00;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que integra a Adm. Pública;HOSPEDAGEM FORPONTO; - ; - 
2ª revisão;1500;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;1501568;INTENDENCIA DA CIDADE ADMINISTRATIVA;2026-03-04;1501568;2025-12-21;2026-07-14;'1501568 0053/2026';True;2026-03-04;2026;Aprovado;true;4;True;5040086;SUPORTE TECNICO A AMBIENTE DE TI -; - ; - ;5;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - TIC;504;SERVICOS DE INFRAESTRUTURA;4003;34;HORA;18,0;900,0;16200,0;16;2.ª quinzena de Agosto;2026;310620;Belo Horizonte;1501;4466;10;1;1501122;'1501122 00201/2026';2026-03-17 00:00:00;2026-06-30 00:00:00;2026-06-30 00:00:00;2026-08-31 00:00:00;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que integra a Adm. Pública;HOSPEDAGEM FORPONTO; - ; - 
2ª revisão;1500;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;1501568;INTENDENCIA DA CIDADE ADMINISTRATIVA;2026-03-04;1501568;2025-12-21;2026-07-14;'1501568 0053/2026';True;2026-03-04;2026;Aprovado;true;5;True;5040086;SUPORTE TECNICO A AMBIENTE DE TI -; - ; - ;5;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - TIC;504;SERVICOS DE INFRAESTRUTURA;4003;1;1,00 UNIDADE;6,0;1410,0;8460,0;16;2.ª quinzena de Agosto;2026;310620;Belo Horizonte;1501;4466;10;1;1501122;'1501122 00201/2026';2026-03-17 00:00:00;2026-06-30 00:00:00;2026-06-30 00:00:00;2026-08-31 00:00:00;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que integra a Adm. Pública;HOSPEDAGEM FORPONTO; - ; - 
